Metric,Group1,Group2,n1,n2,MannWhitneyU,p_raw,p_holm,significant_p<0.05
PeakValue,18-29,30-39,47,40,974.0,0.7754075703875483,1.0,False
PeakValue,18-29,40-49,47,41,1088.0,0.29962714637734944,1.0,False
PeakValue,18-29,50-59,47,38,943.0,0.6617284614355006,1.0,False
PeakValue,18-29,60-69,47,39,1069.0,0.18732290048356792,1.0,False
PeakValue,18-29,70+,47,39,1262.0,0.002764859872600306,0.04147289808900459,True
PeakValue,30-39,40-49,40,41,912.0,0.3874030498447725,1.0,False
PeakValue,30-39,50-59,40,38,804.0,0.6636676272550524,1.0,False
PeakValue,30-39,60-69,40,39,914.0,0.19050887828724672,1.0,False
PeakValue,30-39,70+,40,39,1078.0,0.0035315807244241573,0.0494421301419382,True
PeakValue,40-49,50-59,41,38,743.0,0.7275927419155875,1.0,False
PeakValue,40-49,60-69,41,39,860.0,0.563580954819228,1.0,False
PeakValue,40-49,70+,41,39,1032.0,0.02554109799446023,0.30649317593352277,False
PeakValue,50-59,60-69,38,39,821.0,0.417938750453834,1.0,False
PeakValue,50-59,70+,38,39,972.0,0.018849312769186232,0.24504106599942102,False
PeakValue,60-69,70+,39,39,901.0,0.1617909672180181,1.0,False
TroughValue,18-29,30-39,47,40,909.0,0.7950498643048056,1.0,False
TroughValue,18-29,40-49,47,41,848.0,0.33607460520836363,1.0,False
TroughValue,18-29,50-59,47,38,759.0,0.23800029215445906,1.0,False
TroughValue,18-29,60-69,47,39,728.0,0.10292705013150268,1.0,False
TroughValue,18-29,70+,47,39,447.0,4.7339045042584166e-05,0.0007100856756387624,True
TroughValue,30-39,40-49,40,41,747.0,0.49343428164109404,1.0,False
TroughValue,30-39,50-59,40,38,664.0,0.3397386233846834,1.0,False
TroughValue,30-39,60-69,40,39,640.0,0.17134023588215175,1.0,False
TroughValue,30-39,70+,40,39,395.0,0.0001630300640970612,0.0022824208973588568,True
TroughValue,40-49,50-59,41,38,758.0,0.8405828340078482,1.0,False
TroughValue,40-49,60-69,41,39,731.0,0.5127672633975565,1.0,False
TroughValue,40-49,70+,41,39,449.0,0.0007546072046189933,0.009809893660046913,True
TroughValue,50-59,60-69,38,39,704.0,0.7099762913721697,1.0,False
TroughValue,50-59,70+,38,39,437.0,0.0019862967128768273,0.023835560554521927,True
TroughValue,60-69,70+,39,39,496.0,0.008333444842499956,0.09166789326749951,False
