Metric,Group1,Group2,n1,n2,MannWhitneyU,p_raw,p_holm,significant_p<0.05
PeakValue,18-29,30-39,47,40,1045.0,0.3734695766211843,1.0,False
PeakValue,18-29,40-49,47,41,1184.0,0.06573115882480163,0.6573115882480163,False
PeakValue,18-29,50-59,47,38,1095.0,0.07490454489565403,0.6741409040608862,False
PeakValue,18-29,60-69,47,39,915.0,0.9930787525094584,1.0,False
PeakValue,18-29,70+,47,39,1294.0,0.0010742341438612394,0.01611351215791859,True
PeakValue,30-39,40-49,40,41,911.0,0.39261192180368387,1.0,False
PeakValue,30-39,50-59,40,38,860.0,0.31989752010784633,1.0,False
PeakValue,30-39,60-69,40,39,704.0,0.45909468001832554,1.0,False
PeakValue,30-39,70+,40,39,1045.0,0.009496700239316083,0.12345710311110908,False
PeakValue,40-49,50-59,41,38,776.0,0.9804296577894023,1.0,False
PeakValue,40-49,60-69,41,39,633.0,0.11007967049129812,0.8806373639303849,False
PeakValue,40-49,70+,41,39,1008.0,0.04527325824551166,0.54327909894614,False
PeakValue,50-59,60-69,38,39,588.0,0.12023729840518142,0.8806373639303849,False
PeakValue,50-59,70+,38,39,936.0,0.0475123590706164,0.54327909894614,False
PeakValue,60-69,70+,39,39,1050.0,0.003875923122059253,0.05426292370882954,False
TroughValue,18-29,30-39,47,40,930.0,0.871778552577152,1.0,False
TroughValue,18-29,40-49,47,41,880.0,0.22689735184633475,1.0,False
TroughValue,18-29,50-59,47,38,897.5,0.9408831474619346,1.0,False
TroughValue,18-29,60-69,47,39,901.5,0.8028919800559267,1.0,False
TroughValue,18-29,70+,47,39,789.0,0.0771165813095492,1.0,False
TroughValue,30-39,40-49,40,41,757.0,0.3214766167427009,1.0,False
TroughValue,30-39,50-59,40,38,773.0,0.8010148784137633,1.0,False
TroughValue,30-39,60-69,40,39,777.0,0.9626534277239764,1.0,False
TroughValue,30-39,70+,40,39,677.0,0.1195668470721807,1.0,False
TroughValue,40-49,50-59,41,38,850.0,0.2311418155747379,1.0,False
TroughValue,40-49,60-69,41,39,856.0,0.3679260543791707,1.0,False
TroughValue,40-49,70+,41,39,759.0,0.581544662227319,1.0,False
TroughValue,50-59,60-69,38,39,725.5,0.7592606228158731,1.0,False
TroughValue,50-59,70+,38,39,633.0,0.08272941973958803,1.0,False
TroughValue,60-69,70+,39,39,662.0,0.13135747112342253,1.0,False
