Metric,Group1,Group2,n1,n2,MannWhitneyU,p_raw,p_holm,significant_p<0.05
PeakValue,18-29,30-39,47,40,1100.0,0.17433344464645972,1.0,False
PeakValue,18-29,40-49,47,41,1041.0,0.5195181024525266,1.0,False
PeakValue,18-29,50-59,47,38,1048.0,0.17205897150011407,1.0,False
PeakValue,18-29,60-69,47,39,1016.0,0.39045858972216974,1.0,False
PeakValue,18-29,70+,47,39,1340.0,0.00024315999043072594,0.003647399856460889,True
PeakValue,30-39,40-49,40,41,752.0,0.5237176178667995,1.0,False
PeakValue,30-39,50-59,40,38,771.0,0.9164035673343547,1.0,False
PeakValue,30-39,60-69,40,39,748.0,0.7574105952400488,1.0,False
PeakValue,30-39,70+,40,39,1063.0,0.005603213243150569,0.06723855891780683,False
PeakValue,40-49,50-59,41,38,858.0,0.4411517646092944,1.0,False
PeakValue,40-49,60-69,41,39,834.0,0.7434656170907562,1.0,False
PeakValue,40-49,70+,41,39,1137.0,0.0011794741897047081,0.016512638655865913,True
PeakValue,50-59,60-69,38,39,694.0,0.6356603387091417,1.0,False
PeakValue,50-59,70+,38,39,1000.0,0.008443977085473339,0.09288374794020672,False
PeakValue,60-69,70+,39,39,1051.0,0.003754540198423174,0.04880902257950126,True
TroughValue,18-29,30-39,47,40,1084.0,0.22165330054759558,1.0,False
TroughValue,18-29,40-49,47,41,1105.0,0.23822515256621957,1.0,False
TroughValue,18-29,50-59,47,38,1016.0,0.2789099219620491,1.0,False
TroughValue,18-29,60-69,47,39,1039.0,0.2899178058231332,1.0,False
TroughValue,18-29,70+,47,39,954.0,0.748240380689716,1.0,False
TroughValue,30-39,40-49,40,41,819.0,0.9962314852112111,1.0,False
TroughValue,30-39,50-59,40,38,774.0,0.8926474357684173,1.0,False
TroughValue,30-39,60-69,40,39,787.0,0.949179050531133,1.0,False
TroughValue,30-39,70+,40,39,688.0,0.3695954968125844,1.0,False
TroughValue,40-49,50-59,41,38,793.0,0.894617825145411,1.0,False
TroughValue,40-49,60-69,41,39,801.0,0.9923200704355363,1.0,False
TroughValue,40-49,70+,41,39,709.0,0.3863277695611955,1.0,False
TroughValue,50-59,60-69,38,39,747.0,0.9553116088424187,1.0,False
TroughValue,50-59,70+,38,39,662.0,0.4238187040336652,1.0,False
TroughValue,60-69,70+,39,39,679.0,0.41824835515038095,1.0,False
