Metric,Group1,Group2,n1,n2,MannWhitneyU,p_raw,p_holm,significant_p<0.05
PeakValue,18-29,30-39,47,40,889.0,0.6671284483747071,1.0,False
PeakValue,18-29,40-49,47,41,948.0,0.9001500733825095,1.0,False
PeakValue,18-29,50-59,47,38,955.0,0.5867199148202362,1.0,False
PeakValue,18-29,60-69,47,39,1127.0,0.06850548478380665,0.5480438782704532,False
PeakValue,18-29,70+,47,39,1318.0,0.0005041963551447126,0.006554552616881264,True
PeakValue,30-39,40-49,40,41,822.0,0.9886947918980028,1.0,False
PeakValue,30-39,50-59,40,38,845.0,0.3982680422961963,1.0,False
PeakValue,30-39,60-69,40,39,989.0,0.040903120574648844,0.40903120574648844,False
PeakValue,30-39,70+,40,39,1144.0,0.00036467449915456474,0.005470117487318471,True
PeakValue,40-49,50-59,41,38,852.0,0.4768505565661999,1.0,False
PeakValue,40-49,60-69,41,39,1010.0,0.043242748593123215,0.40903120574648844,False
PeakValue,40-49,70+,41,39,1168.0,0.00039682140622363123,0.005555499687130837,True
PeakValue,50-59,60-69,38,39,858.0,0.23523362948026116,1.0,False
PeakValue,50-59,70+,38,39,1033.0,0.002977909343937853,0.035734912127254236,True
PeakValue,60-69,70+,39,39,980.0,0.028629522226020207,0.31492474448622226,False
TroughValue,18-29,30-39,47,40,1170.0,0.05063287566085069,0.5569616322693576,False
TroughValue,18-29,40-49,47,41,815.0,0.2157204651863528,1.0,False
TroughValue,18-29,50-59,47,38,809.0,0.4604826603974541,1.0,False
TroughValue,18-29,60-69,47,39,847.0,0.5494744596521716,1.0,False
TroughValue,18-29,70+,47,39,1063.0,0.20533681526647074,1.0,False
TroughValue,30-39,40-49,40,41,530.0,0.006243637552130936,0.09365456328196405,False
TroughValue,30-39,50-59,40,38,531.0,0.022357505487737375,0.31300507682832324,False
TroughValue,30-39,60-69,40,39,567.0,0.037184375559938615,0.4462125067192634,False
TroughValue,30-39,70+,40,39,690.0,0.38015013223490157,1.0,False
TroughValue,40-49,50-59,41,38,808.0,0.7797500250116287,1.0,False
TroughValue,40-49,60-69,41,39,862.0,0.5506530695619789,1.0,False
TroughValue,40-49,70+,41,39,1027.0,0.02888947459515882,0.37556316973706466,False
TroughValue,50-59,60-69,38,39,745.0,0.9715530776740324,1.0,False
TroughValue,50-59,70+,38,39,912.0,0.08235626334420312,0.8235626334420312,False
TroughValue,60-69,70+,39,39,914.0,0.1262675722115693,1.0,False
