Metric,Group1,Group2,n1,n2,MannWhitneyU,p_raw,p_holm,significant_p<0.05
PeakValue,18-29,30-39,47,40,1098.0,0.17979801603692624,1.0,False
PeakValue,18-29,40-49,47,41,981.0,0.8869209747068049,1.0,False
PeakValue,18-29,50-59,47,38,846.0,0.6810643454223759,1.0,False
PeakValue,18-29,60-69,47,39,898.0,0.8759203757429911,1.0,False
PeakValue,18-29,70+,47,39,1019.0,0.37625920999242635,1.0,False
PeakValue,30-39,40-49,40,41,691.0,0.2248051394794458,1.0,False
PeakValue,30-39,50-59,40,38,613.0,0.14305413111262102,1.0,False
PeakValue,30-39,60-69,40,39,643.0,0.18073590373754744,1.0,False
PeakValue,30-39,70+,40,39,744.0,0.7277604734238885,1.0,False
PeakValue,40-49,50-59,41,38,718.0,0.5527582972373758,1.0,False
PeakValue,40-49,60-69,41,39,769.0,0.7727609207160673,1.0,False
PeakValue,40-49,70+,41,39,905.0,0.3121701593808327,1.0,False
PeakValue,50-59,60-69,38,39,772.0,0.7559863736399494,1.0,False
PeakValue,50-59,70+,38,39,868.0,0.19744263478878799,1.0,False
PeakValue,60-69,70+,39,39,876.0,0.2504574923773797,1.0,False
TroughValue,18-29,30-39,47,40,974.0,0.7754075703875483,1.0,False
TroughValue,18-29,40-49,47,41,880.0,0.4875084352492226,1.0,False
TroughValue,18-29,50-59,47,38,773.0,0.29085195385292617,1.0,False
TroughValue,18-29,60-69,47,39,858.0,0.6148748759637489,1.0,False
TroughValue,18-29,70+,47,39,821.0,0.40988979594800046,1.0,False
TroughValue,30-39,40-49,40,41,705.0,0.2794296614178311,1.0,False
TroughValue,30-39,50-59,40,38,639.0,0.22835832291669556,1.0,False
TroughValue,30-39,60-69,40,39,710.0,0.4955529088485684,1.0,False
TroughValue,30-39,70+,40,39,684.0,0.34903920542087274,1.0,False
TroughValue,40-49,50-59,41,38,743.0,0.7275927419155875,1.0,False
TroughValue,40-49,60-69,41,39,798.0,0.9923200704355363,1.0,False
TroughValue,40-49,70+,41,39,768.0,0.7654048330349069,1.0,False
TroughValue,50-59,60-69,38,39,772.0,0.7559863736399494,1.0,False
TroughValue,50-59,70+,38,39,758.0,0.866493814202781,1.0,False
TroughValue,60-69,70+,39,39,756.0,0.9681142323661506,1.0,False
