Metric,Group1,Group2,n1,n2,MannWhitneyU,p_raw,p_holm,significant_p<0.05
PeakValue,18-29,30-39,47,40,740.0,0.08930452796329862,0.9823498075962848,False
PeakValue,18-29,40-49,47,41,911.0,0.6635850746077743,1.0,False
PeakValue,18-29,50-59,47,38,561.0,0.003388399859782782,0.050825997896741734,False
PeakValue,18-29,60-69,47,39,692.0,0.052002655149740416,0.6760345169466254,False
PeakValue,18-29,70+,47,39,708.0,0.07118145818571239,0.8541774982285487,False
PeakValue,30-39,40-49,40,41,924.0,0.32822661167400746,1.0,False
PeakValue,30-39,50-59,40,38,617.0,0.1542944847720722,1.0,False
PeakValue,30-39,60-69,40,39,675.0,0.30550155065340034,1.0,False
PeakValue,30-39,70+,40,39,726.0,0.59985387369097,1.0,False
PeakValue,40-49,50-59,41,38,540.0,0.019274163423291364,0.2698382879260791,False
PeakValue,40-49,60-69,41,39,632.0,0.10795335275292846,1.0,False
PeakValue,40-49,70+,41,39,660.0,0.1809139435635021,1.0,False
PeakValue,50-59,60-69,38,39,734.0,0.947197405306911,1.0,False
PeakValue,50-59,70+,38,39,809.0,0.4916178142004102,1.0,False
PeakValue,60-69,70+,39,39,799.0,0.7041321145460675,1.0,False
TroughValue,18-29,30-39,47,40,865.0,0.5257593243675265,1.0,False
TroughValue,18-29,40-49,47,41,800.0,0.17273761694900547,1.0,False
TroughValue,18-29,50-59,47,38,851.0,0.7137559594825751,1.0,False
TroughValue,18-29,60-69,47,39,957.0,0.7286031551816768,1.0,False
TroughValue,18-29,70+,47,39,526.0,0.0007167347278812281,0.010751020918218421,True
TroughValue,30-39,40-49,40,41,758.0,0.5612758361345778,1.0,False
TroughValue,30-39,50-59,40,38,770.0,0.924339966977053,1.0,False
TroughValue,30-39,60-69,40,39,884.0,0.3101530217946171,1.0,False
TroughValue,30-39,70+,40,39,505.0,0.007109014835935481,0.09241719286716125,False
TroughValue,40-49,50-59,41,38,850.0,0.4890924884000365,1.0,False
TroughValue,40-49,60-69,41,39,949.0,0.15151479011326252,1.0,False
TroughValue,40-49,70+,41,39,557.0,0.019839254393185613,0.23807105271822737,False
TroughValue,50-59,60-69,38,39,824.0,0.40058964939445174,1.0,False
TroughValue,50-59,70+,38,39,534.0,0.03538117692693536,0.38919294619628897,False
TroughValue,60-69,70+,39,39,444.0,0.0015890538337857412,0.022246753673000375,True
