Metric,Group1,Group2,n1,n2,MannWhitneyU,p_raw,p_holm,significant_p<0.05
PeakValue,18-29,30-39,47,40,884.0,0.636444511862942,1.0,False
PeakValue,18-29,40-49,47,41,757.0,0.08486219313089156,0.8486219313089156,False
PeakValue,18-29,50-59,47,38,822.0,0.5331886066333638,1.0,False
PeakValue,18-29,60-69,47,39,997.0,0.48770197015729144,1.0,False
PeakValue,18-29,70+,47,39,1204.0,0.01278826344700809,0.15345916136409707,False
PeakValue,30-39,40-49,40,41,714.0,0.31896611652168727,1.0,False
PeakValue,30-39,50-59,40,38,769.0,0.9322839046912308,1.0,False
PeakValue,30-39,60-69,40,39,893.0,0.2699606149597602,1.0,False
PeakValue,30-39,70+,40,39,1055.0,0.007109014835935481,0.09241719286716125,False
PeakValue,40-49,50-59,41,38,878.0,0.33379819305185254,1.0,False
PeakValue,40-49,60-69,41,39,986.0,0.07339840119781645,0.8073824131759809,False
PeakValue,40-49,70+,41,39,1175.0,0.0003067081369081764,0.004600622053622646,True
PeakValue,50-59,60-69,38,39,843.0,0.3010641237238044,1.0,False
PeakValue,50-59,70+,38,39,1009.0,0.006420805807668528,0.08989128130735939,False
PeakValue,60-69,70+,39,39,928.0,0.09513824555274142,0.8562442099746728,False
TroughValue,18-29,30-39,47,40,1011.0,0.5482223743254542,1.0,False
TroughValue,18-29,40-49,47,41,1002.0,0.75058975868005,1.0,False
TroughValue,18-29,50-59,47,38,871.0,0.8492798063825377,1.0,False
TroughValue,18-29,60-69,47,39,952.0,0.7614241069961905,1.0,False
TroughValue,18-29,70+,47,39,990.0,0.5265728496405124,1.0,False
TroughValue,30-39,40-49,40,41,774.0,0.6673362671357427,1.0,False
TroughValue,30-39,50-59,40,38,686.0,0.4624886429256757,1.0,False
TroughValue,30-39,60-69,40,39,752.0,0.787422077947683,1.0,False
TroughValue,30-39,70+,40,39,773.0,0.949179050531133,1.0,False
TroughValue,40-49,50-59,41,38,732.0,0.6482011662077221,1.0,False
TroughValue,40-49,60-69,41,39,786.0,0.9004193128193931,1.0,False
TroughValue,40-49,70+,41,39,840.0,0.700222214630513,1.0,False
TroughValue,50-59,60-69,38,39,776.0,0.7252053889831234,1.0,False
TroughValue,50-59,70+,38,39,829.0,0.37265446911258115,1.0,False
TroughValue,60-69,70+,39,39,805.0,0.6601480358940703,1.0,False
