Metric,Group1,Group2,n1,n2,MannWhitneyU,p_raw,p_holm,significant_p<0.05
PeakValue,18-29,30-39,47,40,882.0,0.6243397354823621,1.0,False
PeakValue,18-29,40-49,47,41,1038.0,0.535920271413937,1.0,False
PeakValue,18-29,50-59,47,38,833.0,0.5989455179055014,1.0,False
PeakValue,18-29,60-69,47,39,996.0,0.49315849077493856,1.0,False
PeakValue,18-29,70+,47,39,932.0,0.8964722054750864,1.0,False
PeakValue,30-39,40-49,40,41,949.0,0.2248051394794458,1.0,False
PeakValue,30-39,50-59,40,38,742.0,0.8611254469141747,1.0,False
PeakValue,30-39,60-69,40,39,899.0,0.24524029844625828,1.0,False
PeakValue,30-39,70+,40,39,843.0,0.5399669813903587,1.0,False
PeakValue,40-49,50-59,41,38,660.0,0.2449375715052603,1.0,False
PeakValue,40-49,60-69,41,39,836.0,0.7289531093817812,1.0,False
PeakValue,40-49,70+,41,39,766.0,0.7507565670475442,1.0,False
PeakValue,50-59,60-69,38,39,832.0,0.3564877377544404,1.0,False
PeakValue,50-59,70+,38,39,799.0,0.5579757486210706,1.0,False
PeakValue,60-69,70+,39,39,692.0,0.49678947156212794,1.0,False
TroughValue,18-29,30-39,47,40,946.0,0.9626393590105836,1.0,False
TroughValue,18-29,40-49,47,41,1218.0,0.033615386698910225,0.33615386698910227,False
TroughValue,18-29,50-59,47,38,1033.0,0.21756326408170168,1.0,False
TroughValue,18-29,60-69,47,39,984.0,0.5611066044085183,1.0,False
TroughValue,18-29,70+,47,39,632.0,0.013755407148452609,0.1650648857814313,False
TroughValue,30-39,40-49,40,41,1017.0,0.06342532455854817,0.5708279210269336,False
TroughValue,30-39,50-59,40,38,861.0,0.31505810616817387,1.0,False
TroughValue,30-39,60-69,40,39,820.0,0.6985123873504537,1.0,False
TroughValue,30-39,70+,40,39,524.0,0.012231864308769961,0.1590142360140095,False
TroughValue,40-49,50-59,41,38,715.0,0.5332396663845705,1.0,False
TroughValue,40-49,60-69,41,39,671.0,0.21792455969798974,1.0,False
TroughValue,40-49,70+,41,39,431.0,0.00039682140622363123,0.005952321093354468,True
TroughValue,50-59,60-69,38,39,656.0,0.3892677672476339,1.0,False
TroughValue,50-59,70+,38,39,425.0,0.0013065455489930863,0.01829163768590321,True
TroughValue,60-69,70+,39,39,522.0,0.017386782202233043,0.19125460422456347,False
