Metric,Group1,Group2,n1,n2,MannWhitneyU,p_raw,p_holm,significant_p<0.05
PeakValue,18-29,30-39,47,40,748.0,0.10290206404615503,1.0,False
PeakValue,18-29,40-49,47,41,1145.0,0.13001924178978114,1.0,False
PeakValue,18-29,50-59,47,38,963.0,0.5390124678358855,1.0,False
PeakValue,18-29,60-69,47,39,1081.0,0.15484187533057087,1.0,False
PeakValue,18-29,70+,47,39,919.0,0.9861580258115645,1.0,False
PeakValue,30-39,40-49,40,41,1087.0,0.011821137836622302,0.17731706754933452,False
PeakValue,30-39,50-59,40,38,979.0,0.028942264733580615,0.376249441536548,False
PeakValue,30-39,60-69,40,39,1035.0,0.012575216865946082,0.17731706754933452,False
PeakValue,30-39,70+,40,39,923.0,0.16231512099721734,1.0,False
PeakValue,40-49,50-59,41,38,717.0,0.5462133170678432,1.0,False
PeakValue,40-49,60-69,41,39,786.0,0.9004193128193931,1.0,False
PeakValue,40-49,70+,41,39,641.0,0.12830224212852928,1.0,False
PeakValue,50-59,60-69,38,39,800.0,0.5511487987058736,1.0,False
PeakValue,50-59,70+,38,39,675.0,0.5045418687330688,1.0,False
PeakValue,60-69,70+,39,39,634.0,0.20797035105011086,1.0,False
TroughValue,18-29,30-39,47,40,976.0,0.7623912401086572,1.0,False
TroughValue,18-29,40-49,47,41,863.0,0.4028857891563352,1.0,False
TroughValue,18-29,50-59,47,38,860.0,0.7739087533409287,1.0,False
TroughValue,18-29,60-69,47,39,816.0,0.38568968411893934,1.0,False
TroughValue,18-29,70+,47,39,694.0,0.05413402855961717,0.7578763998346404,False
TroughValue,30-39,40-49,40,41,695.0,0.23956912045855627,1.0,False
TroughValue,30-39,50-59,40,38,707.0,0.59970478986905,1.0,False
TroughValue,30-39,60-69,40,39,665.0,0.26153736742582345,1.0,False
TroughValue,30-39,70+,40,39,556.0,0.02840856021089718,0.42612840316345774,False
TroughValue,40-49,50-59,41,38,840.0,0.5527582972373758,1.0,False
TroughValue,40-49,60-69,41,39,790.0,0.930965923934746,1.0,False
TroughValue,40-49,70+,41,39,667.0,0.20388248156265687,1.0,False
TroughValue,50-59,60-69,38,39,686.0,0.5786999293539694,1.0,False
TroughValue,50-59,70+,38,39,554.0,0.05740760020701211,0.7578763998346404,False
TroughValue,60-69,70+,39,39,649.0,0.26731572610092946,1.0,False
