Metric,Group1,Group2,n1,n2,MannWhitneyU,p_raw,p_holm,significant_p<0.05
PeakPower,18-29,30-39,47,40,964.0,0.8413695304467891,1.0,False
PeakPower,18-29,40-49,47,41,1065.0,0.398198365792062,1.0,False
PeakPower,18-29,50-59,47,38,1001.0,0.34201718732662845,1.0,False
PeakPower,18-29,60-69,47,39,993.0,0.5097223615741917,1.0,False
PeakPower,18-29,70+,47,39,1316.0,0.0005378373756786196,0.008067560635179294,True
PeakPower,30-39,40-49,40,41,904.0,0.43024871441397117,1.0,False
PeakPower,30-39,50-59,40,38,840.0,0.42676759131239095,1.0,False
PeakPower,30-39,60-69,40,39,823.0,0.6768636282685538,1.0,False
PeakPower,30-39,70+,40,39,1118.0,0.0009347619487510322,0.01308666728251445,True
PeakPower,40-49,50-59,41,38,764.0,0.8868624535564296,1.0,False
PeakPower,40-49,60-69,41,39,804.0,0.9692873956642714,1.0,False
PeakPower,40-49,70+,41,39,1047.0,0.01743036293579274,0.19173399229372012,False
PeakPower,50-59,60-69,38,39,706.0,0.7252053889831234,1.0,False
PeakPower,50-59,70+,38,39,993.0,0.010393335690485379,0.13511336397630994,False
PeakPower,60-69,70+,39,39,1011.0,0.012477455618988066,0.14972946742785678,False
TroughPower,18-29,30-39,47,40,1107.0,0.1561827867659237,1.0,False
TroughPower,18-29,40-49,47,41,1115.0,0.20655954118120035,1.0,False
TroughPower,18-29,50-59,47,38,1050.0,0.1665742305354473,1.0,False
TroughPower,18-29,60-69,47,39,1298.0,0.0009496795182888279,0.014245192774332418,True
TroughPower,18-29,70+,47,39,1025.0,0.3488318833695744,1.0,False
TroughPower,30-39,40-49,40,41,821.0,0.9962314852112111,1.0,False
TroughPower,30-39,50-59,40,38,760.0,1.0,1.0,False
TroughPower,30-39,60-69,40,39,940.0,0.11781142089708545,1.0,False
TroughPower,30-39,70+,40,39,724.0,0.5862885252180602,1.0,False
TroughPower,40-49,50-59,41,38,780.0,0.9960855547196047,1.0,False
TroughPower,40-49,60-69,41,39,963.0,0.11665758421629313,1.0,False
TroughPower,40-49,70+,41,39,757.0,0.6860130490927046,1.0,False
TroughPower,50-59,60-69,38,39,934.0,0.0498409176421867,0.6977728469906138,False
TroughPower,50-59,70+,38,39,719.0,0.8266054324916822,1.0,False
TroughPower,60-69,70+,39,39,570.0,0.057598340726566534,0.748778429445365,False
