Metric,Group1,Group2,n1,n2,MannWhitneyU,p_raw,p_holm,significant_p<0.05
PeakValue,18-29,30-39,47,40,976.0,0.7623912401086572,1.0,False
PeakValue,18-29,40-49,47,41,999.0,0.7696999011635401,1.0,False
PeakValue,18-29,50-59,47,38,936.0,0.7071731220624848,1.0,False
PeakValue,18-29,60-69,47,39,986.0,0.5494744596521716,1.0,False
PeakValue,18-29,70+,47,39,1348.0,0.0001849336719774167,0.00277400507966125,True
PeakValue,30-39,40-49,40,41,843.0,0.8316843951134338,1.0,False
PeakValue,30-39,50-59,40,38,746.0,0.8926474357684173,1.0,False
PeakValue,30-39,60-69,40,39,820.0,0.6985123873504537,1.0,False
PeakValue,30-39,70+,40,39,1112.0,0.001151516592405738,0.014969715701274594,True
PeakValue,40-49,50-59,41,38,786.0,0.9491464858177777,1.0,False
PeakValue,40-49,60-69,41,39,842.0,0.6860130490927046,1.0,False
PeakValue,40-49,70+,41,39,1098.0,0.0041254987011569225,0.04950598441388307,True
PeakValue,50-59,60-69,38,39,758.0,0.866493814202781,1.0,False
PeakValue,50-59,70+,38,39,1081.0,0.000542049659161316,0.007588695228258424,True
PeakValue,60-69,70+,39,39,1008.0,0.013573174468742047,0.1493049191561625,False
TroughValue,18-29,30-39,47,40,1052.0,0.34231051059374695,1.0,False
TroughValue,18-29,40-49,47,41,1119.0,0.19478895277979358,1.0,False
TroughValue,18-29,50-59,47,38,964.0,0.5331886066333638,1.0,False
TroughValue,18-29,60-69,47,39,1166.0,0.030774456043656216,0.430842384611187,False
TroughValue,18-29,70+,47,39,841.0,0.5153076625223232,1.0,False
TroughValue,30-39,40-49,40,41,855.0,0.7445019986939179,1.0,False
TroughValue,30-39,50-59,40,38,756.0,0.9720890391808916,1.0,False
TroughValue,30-39,60-69,40,39,898.0,0.2492461719674024,1.0,False
TroughValue,30-39,70+,40,39,625.0,0.1297731273958863,1.0,False
TroughValue,40-49,50-59,41,38,718.0,0.5527582972373758,1.0,False
TroughValue,40-49,60-69,41,39,876.0,0.4644500026445567,1.0,False
TroughValue,40-49,70+,41,39,602.0,0.05793016033166292,0.753092084311618,False
TroughValue,50-59,60-69,38,39,876.0,0.17056782709447504,1.0,False
TroughValue,50-59,70+,38,39,625.0,0.23927691730832346,1.0,False
TroughValue,60-69,70+,39,39,498.0,0.00883778898075264,0.1325668347112896,False
