Metric,Group1,Group2,n1,n2,MannWhitneyU,p_raw,p_holm,significant_p<0.05
PeakValue,18-29,30-39,47,40,913.0,0.8214409518867991,1.0,False
PeakValue,18-29,40-49,47,41,1309.0,0.0039035729955481514,0.05855359493322227,False
PeakValue,18-29,50-59,47,38,1015.0,0.2828529771896765,1.0,False
PeakValue,18-29,60-69,47,39,1062.0,0.20845762520923916,1.0,False
PeakValue,18-29,70+,47,39,1053.0,0.23810108058323243,1.0,False
PeakValue,30-39,40-49,40,41,1095.0,0.009514011989453643,0.133196167852351,False
PeakValue,30-39,50-59,40,38,871.0,0.269319144020575,1.0,False
PeakValue,30-39,60-69,40,39,908.0,0.2112117569051769,1.0,False
PeakValue,30-39,70+,40,39,912.0,0.19723696701508964,1.0,False
PeakValue,40-49,50-59,41,38,604.0,0.08685775373778094,1.0,False
PeakValue,40-49,60-69,41,39,656.0,0.16868286798274124,1.0,False
PeakValue,40-49,70+,41,39,676.0,0.23643757067754534,1.0,False
PeakValue,50-59,60-69,38,39,767.0,0.795008704454512,1.0,False
PeakValue,50-59,70+,38,39,764.0,0.818677733327292,1.0,False
PeakValue,60-69,70+,39,39,779.0,0.8572460950284425,1.0,False
TroughValue,18-29,30-39,47,40,1225.0,0.015393111333501255,0.21550355866901758,False
TroughValue,18-29,40-49,47,41,1099.0,0.25879410656386936,1.0,False
TroughValue,18-29,50-59,47,38,979.0,0.44981096585617575,1.0,False
TroughValue,18-29,60-69,47,39,1120.0,0.0782477053180979,0.8607247584990768,False
TroughValue,18-29,70+,47,39,790.0,0.274393636870229,1.0,False
TroughValue,30-39,40-49,40,41,731.0,0.4031562393135637,1.0,False
TroughValue,30-39,50-59,40,38,629.0,0.19204093864862826,1.0,False
TroughValue,30-39,60-69,40,39,766.0,0.8946850055569023,1.0,False
TroughValue,30-39,70+,40,39,472.0,0.002567373978295379,0.038510609674430686,True
TroughValue,40-49,50-59,41,38,730.0,0.6341550401005479,1.0,False
TroughValue,40-49,60-69,41,39,841.0,0.6931041379976534,1.0,False
TroughValue,40-49,70+,41,39,600.0,0.05543169029489663,0.6651802835387595,False
TroughValue,50-59,60-69,38,39,823.0,0.40632402581568694,1.0,False
TroughValue,50-59,70+,38,39,587.0,0.1178253061265497,1.0,False
TroughValue,60-69,70+,39,39,548.0,0.03412454843778387,0.44361912969119033,False
