Metric,Group1,Group2,n1,n2,MannWhitneyU,p_raw,p_holm,significant_p<0.05
PeakValue,18-29,30-39,47,40,977.0,0.755907933601293,1.0,False
PeakValue,18-29,40-49,47,41,1066.0,0.3935439511638138,1.0,False
PeakValue,18-29,50-59,47,38,819.0,0.515910048721287,1.0,False
PeakValue,18-29,60-69,47,39,1099.0,0.11438691451187011,1.0,False
PeakValue,18-29,70+,47,39,1313.0,0.000592238984667994,0.008291345785351916,True
PeakValue,30-39,40-49,40,41,883.0,0.5549266644058717,1.0,False
PeakValue,30-39,50-59,40,38,660.0,0.31989752010784633,1.0,False
PeakValue,30-39,60-69,40,39,898.0,0.2492461719674024,1.0,False
PeakValue,30-39,70+,40,39,1129.0,0.0006324004895280952,0.008291345785351916,True
PeakValue,40-49,50-59,41,38,634.0,0.15623507528494038,1.0,False
PeakValue,40-49,60-69,41,39,872.0,0.4882863754318425,1.0,False
PeakValue,40-49,70+,41,39,1069.0,0.009618161079136036,0.11541793294963243,False
PeakValue,50-59,60-69,38,39,926.0,0.06013301239840519,0.601330123984052,False
PeakValue,50-59,70+,38,39,1111.0,0.00016673013674140178,0.0025009520511210265,True
PeakValue,60-69,70+,39,39,957.0,0.05014760364358994,0.5516236400794893,False
TroughValue,18-29,30-39,47,40,976.0,0.7623912401086572,1.0,False
TroughValue,18-29,40-49,47,41,971.0,0.9533077548924695,1.0,False
TroughValue,18-29,50-59,47,38,973.0,0.4822449008742299,1.0,False
TroughValue,18-29,60-69,47,39,724.0,0.09580818481948074,0.8622736633753266,False
TroughValue,18-29,70+,47,39,545.0,0.0012896236700019707,0.01805473138002759,True
TroughValue,30-39,40-49,40,41,805.0,0.8910534313500741,1.0,False
TroughValue,30-39,50-59,40,38,802.0,0.6782431226026459,1.0,False
TroughValue,30-39,60-69,40,39,591.0,0.06454528314260875,0.6454528314260876,False
TroughValue,30-39,70+,40,39,433.0,0.0006795190478376226,0.010192785717564339,True
TroughValue,40-49,50-59,41,38,839.0,0.5593415113833919,1.0,False
TroughValue,40-49,60-69,41,39,629.0,0.10176903503705122,0.8622736633753266,False
TroughValue,40-49,70+,41,39,519.0,0.007035829731739977,0.08442995678087972,False
TroughValue,50-59,60-69,38,39,532.0,0.03364121130729573,0.370053324380253,False
TroughValue,50-59,70+,38,39,427.0,0.0014023801778860064,0.018230942312518084,True
TroughValue,60-69,70+,39,39,650.0,0.27164945327288104,1.0,False
