Metric,Group1,Group2,n1,n2,MannWhitneyU,p_raw,p_holm,significant_p<0.05
PeakValue,18-29,30-39,47,40,914.0,0.8280716891627437,1.0,False
PeakValue,18-29,40-49,47,41,914.0,0.6818980519107656,1.0,False
PeakValue,18-29,50-59,47,38,664.0,0.04341451074063827,0.6078031503689357,False
PeakValue,18-29,60-69,47,39,657.0,0.02465773637410512,0.3698660456115768,False
PeakValue,18-29,70+,47,39,850.0,0.5669670286215577,1.0,False
PeakValue,30-39,40-49,40,41,795.0,0.816977365903641,1.0,False
PeakValue,30-39,50-59,40,38,598.0,0.10642726682630502,1.0,False
PeakValue,30-39,60-69,40,39,589.0,0.061761208521633956,0.8028957107812414,False
PeakValue,30-39,70+,40,39,722.0,0.5728671862577988,1.0,False
PeakValue,40-49,50-59,41,38,641.0,0.17728443808773664,1.0,False
PeakValue,40-49,60-69,41,39,635.0,0.11443147934140643,1.0,False
PeakValue,40-49,70+,41,39,767.0,0.7580698427797626,1.0,False
PeakValue,50-59,60-69,38,39,694.0,0.6356603387091417,1.0,False
PeakValue,50-59,70+,38,39,856.0,0.2433689756699654,1.0,False
PeakValue,60-69,70+,39,39,893.0,0.18712686925602418,1.0,False
TroughValue,18-29,30-39,47,40,900.0,0.7365625500542156,1.0,False
TroughValue,18-29,40-49,47,41,808.0,0.19478895277979358,1.0,False
TroughValue,18-29,50-59,47,38,845.0,0.6745949496227996,1.0,False
TroughValue,18-29,60-69,47,39,983.0,0.5669670286215577,1.0,False
TroughValue,18-29,70+,47,39,693.0,0.053059400753083755,0.7428316105431726,False
TroughValue,30-39,40-49,40,41,734.0,0.41928707209996374,1.0,False
TroughValue,30-39,50-59,40,38,743.0,0.8689872509512788,1.0,False
TroughValue,30-39,60-69,40,39,874.0,0.3592249520846911,1.0,False
TroughValue,30-39,70+,40,39,645.0,0.1872088961226529,1.0,False
TroughValue,40-49,50-59,41,38,839.0,0.5593415113833919,1.0,False
TroughValue,40-49,60-69,41,39,971.0,0.09977143641922163,1.0,False
TroughValue,40-49,70+,41,39,732.0,0.5189859216490996,1.0,False
TroughValue,50-59,60-69,38,39,835.0,0.3407702597974518,1.0,False
TroughValue,50-59,70+,38,39,634.0,0.27787840284993215,1.0,False
TroughValue,60-69,70+,39,39,547.0,0.03328817374912695,0.4993226062369043,False
