Metric,Group1,Group2,n1,n2,MannWhitneyU,p_raw,p_holm,significant_p<0.05
PeakValue,18-29,30-39,47,40,712.0,0.05267877702567328,0.6321453243080793,False
PeakValue,18-29,40-49,47,41,939.0,0.8408902837775174,1.0,False
PeakValue,18-29,50-59,47,38,834.0,0.6051013149626412,1.0,False
PeakValue,18-29,60-69,47,39,948.0,0.7879967946431468,1.0,False
PeakValue,18-29,70+,47,39,1094.0,0.12468430683323253,1.0,False
PeakValue,30-39,40-49,40,41,1025.0,0.053388082876769404,0.6321453243080793,False
PeakValue,30-39,50-59,40,38,892.0,0.18865718666799103,1.0,False
PeakValue,30-39,60-69,40,39,1010.0,0.024421494308550316,0.3419009203197044,False
PeakValue,30-39,70+,40,39,1085.0,0.00282774529116298,0.0424161793674447,True
PeakValue,40-49,50-59,41,38,739.0,0.698328430691942,1.0,False
PeakValue,40-49,60-69,41,39,841.0,0.6931041379976534,1.0,False
PeakValue,40-49,70+,41,39,976.0,0.09024812990676521,0.9024812990676522,False
PeakValue,50-59,60-69,38,39,820.0,0.4238187040336652,1.0,False
PeakValue,50-59,70+,38,39,936.0,0.0475123590706164,0.6176606679180132,False
PeakValue,60-69,70+,39,39,892.0,0.19048930723341462,1.0,False
TroughValue,18-29,30-39,47,40,879.0,0.6063719203708426,1.0,False
TroughValue,18-29,40-49,47,41,735.0,0.056498461707059605,0.5963817808123478,False
TroughValue,18-29,50-59,47,38,675.0,0.05454644458958396,0.5963817808123478,False
TroughValue,18-29,60-69,47,39,602.0,0.006453043139362344,0.08388956081171048,False
TroughValue,18-29,70+,47,39,517.0,0.0005378373756786196,0.008067560635179294,True
TroughValue,30-39,40-49,40,41,698.0,0.251081879088462,1.0,False
TroughValue,30-39,50-59,40,38,616.0,0.15142338244409503,1.0,False
TroughValue,30-39,60-69,40,39,575.0,0.04493232231888405,0.5391878678266085,False
TroughValue,30-39,70+,40,39,484.0,0.003760107823303896,0.05264150952625454,False
TroughValue,40-49,50-59,41,38,766.0,0.9023832831989107,1.0,False
TroughValue,40-49,60-69,41,39,703.0,0.35546067899165534,1.0,False
TroughValue,40-49,70+,41,39,599.0,0.05421652552839526,0.5963817808123478,False
TroughValue,50-59,60-69,38,39,683.0,0.5579757486210706,1.0,False
TroughValue,50-59,70+,38,39,572.0,0.08601613971427377,0.6881291177141902,False
TroughValue,60-69,70+,39,39,661.0,0.3224944837119953,1.0,False
