Metric,Group1,Group2,n1,n2,MannWhitneyU,p_raw,p_holm,significant_p<0.05
PeakValue,18-29,30-39,47,40,822.0,0.3169670433852637,1.0,False
PeakValue,18-29,40-49,47,41,916.0,0.6942124804532387,1.0,False
PeakValue,18-29,50-59,47,38,737.0,0.16929994313910235,1.0,False
PeakValue,18-29,60-69,47,39,788.0,0.26684841460200237,1.0,False
PeakValue,18-29,70+,47,39,1033.0,0.31429325308476697,1.0,False
PeakValue,30-39,40-49,40,41,862.0,0.6950423390576734,1.0,False
PeakValue,30-39,50-59,40,38,726.0,0.737709281023835,1.0,False
PeakValue,30-39,60-69,40,39,787.0,0.949179050531133,1.0,False
PeakValue,30-39,70+,40,39,957.0,0.08350084329904242,1.0,False
PeakValue,40-49,50-59,41,38,682.0,0.3437062940116561,1.0,False
PeakValue,40-49,60-69,41,39,742.0,0.5832427573040511,1.0,False
PeakValue,40-49,70+,41,39,951.0,0.1460981721388871,1.0,False
PeakValue,50-59,60-69,38,39,773.0,0.7482525420137011,1.0,False
PeakValue,50-59,70+,38,39,914.0,0.07882367288023642,1.0,False
PeakValue,60-69,70+,39,39,920.0,0.11207220744288972,1.0,False
TroughValue,18-29,30-39,47,40,984.0,0.7110281477768455,1.0,False
TroughValue,18-29,40-49,47,41,981.0,0.8869209747068049,1.0,False
TroughValue,18-29,50-59,47,38,921.0,0.8079503024634094,1.0,False
TroughValue,18-29,60-69,47,39,968.0,0.6581962251380633,1.0,False
TroughValue,18-29,70+,47,39,764.0,0.18732290048356792,1.0,False
TroughValue,30-39,40-49,40,41,797.0,0.8316843951134338,1.0,False
TroughValue,30-39,50-59,40,38,731.0,0.7757168888560999,1.0,False
TroughValue,30-39,60-69,40,39,802.0,0.833023950525219,1.0,False
TroughValue,30-39,70+,40,39,615.0,0.10673251325429932,1.0,False
TroughValue,40-49,50-59,41,38,785.0,0.9569618208395403,1.0,False
TroughValue,40-49,60-69,41,39,835.0,0.7361975981654372,1.0,False
TroughValue,40-49,70+,41,39,652.0,0.15708303902941606,1.0,False
TroughValue,50-59,60-69,38,39,780.0,0.6948621614950612,1.0,False
TroughValue,50-59,70+,38,39,603.0,0.16122971763313454,1.0,False
TroughValue,60-69,70+,39,39,598.0,0.10546279529128742,1.0,False
