Metric,Group1,Group2,n1,n2,MannWhitneyU,p_raw,p_holm,significant_p<0.05
PeakValue,18-29,30-39,47,40,913.0,0.8214409518867991,1.0,False
PeakValue,18-29,40-49,47,41,1026.0,0.6040280989322262,1.0,False
PeakValue,18-29,50-59,47,38,1016.0,0.2789099219620491,1.0,False
PeakValue,18-29,60-69,47,39,1085.0,0.1450242533435259,1.0,False
PeakValue,18-29,70+,47,39,1077.0,0.16515623624479847,1.0,False
PeakValue,30-39,40-49,40,41,875.0,0.6066764348538746,1.0,False
PeakValue,30-39,50-59,40,38,851.0,0.36562514442642535,1.0,False
PeakValue,30-39,60-69,40,39,926.0,0.15365344333943565,1.0,False
PeakValue,30-39,70+,40,39,915.0,0.1872088961226529,1.0,False
PeakValue,40-49,50-59,41,38,829.0,0.6271806780339915,1.0,False
PeakValue,40-49,60-69,41,39,905.0,0.3121701593808327,1.0,False
PeakValue,40-49,70+,41,39,901.0,0.330962597274293,1.0,False
PeakValue,50-59,60-69,38,39,792.0,0.606881577279242,1.0,False
PeakValue,50-59,70+,38,39,798.0,0.5648435705507513,1.0,False
PeakValue,60-69,70+,39,39,747.0,0.8966344990211957,1.0,False
TroughValue,18-29,30-39,47,40,919.0,0.8614002719423363,1.0,False
TroughValue,18-29,40-49,47,41,845.0,0.3236207827400044,1.0,False
TroughValue,18-29,50-59,47,38,794.0,0.3839526271408642,1.0,False
TroughValue,18-29,60-69,47,39,861.0,0.6332885388986925,1.0,False
TroughValue,18-29,70+,47,39,509.0,0.00041467359790461065,0.00622010396856916,True
TroughValue,30-39,40-49,40,41,756.0,0.5486128034270649,1.0,False
TroughValue,30-39,50-59,40,38,709.0,0.6136770131453606,1.0,False
TroughValue,30-39,60-69,40,39,749.0,0.764881213971064,1.0,False
TroughValue,30-39,70+,40,39,498.0,0.005774218801418626,0.07506484441844213,False
TroughValue,40-49,50-59,41,38,794.0,0.8868624535564296,1.0,False
TroughValue,40-49,60-69,41,39,828.0,0.7875338916774205,1.0,False
TroughValue,40-49,70+,41,39,545.0,0.014490023074589844,0.1593902538204883,False
TroughValue,50-59,60-69,38,39,765.0,0.8107685292878656,1.0,False
TroughValue,50-59,70+,38,39,489.0,0.010393335690485379,0.12472002828582454,False
TroughValue,60-69,70+,39,39,481.0,0.005300942676614231,0.07421319747259923,False
