Metric,Group1,Group2,n1,n2,MannWhitneyU,p_raw,p_holm,significant_p<0.05
PeakValue,18-29,30-39,47,40,901.0,0.7429931679860262,1.0,False
PeakValue,18-29,40-49,47,41,863.0,0.4028857891563352,1.0,False
PeakValue,18-29,50-59,47,38,845.0,0.6745949496227996,1.0,False
PeakValue,18-29,60-69,47,39,720.0,0.08908902531868636,0.9803996408682425,False
PeakValue,18-29,70+,47,39,613.0,0.008578614821318333,0.128679222319775,False
PeakValue,30-39,40-49,40,41,782.0,0.7231618153123979,1.0,False
PeakValue,30-39,50-59,40,38,744.0,0.8768620289081899,1.0,False
PeakValue,30-39,60-69,40,39,668.0,0.27424127531636555,1.0,False
PeakValue,30-39,70+,40,39,586.0,0.057772052334327494,0.808808732680585,False
PeakValue,40-49,50-59,41,38,787.0,0.9413360400814803,1.0,False
PeakValue,40-49,60-69,41,39,718.0,0.43558717431802985,1.0,False
PeakValue,40-49,70+,41,39,617.0,0.07980074726092172,0.9803996408682425,False
PeakValue,50-59,60-69,38,39,643.0,0.3205154182759784,1.0,False
PeakValue,50-59,70+,38,39,566.0,0.0754153569898648,0.9803996408682425,False
PeakValue,60-69,70+,39,39,666.0,0.34753677189432564,1.0,False
TroughValue,18-29,30-39,47,40,832.0,0.35990655070532873,1.0,False
TroughValue,18-29,40-49,47,41,755.0,0.08188093454006297,0.6550474763205038,False
TroughValue,18-29,50-59,47,38,547.0,0.0022591960947063745,0.02485115704177012,True
TroughValue,18-29,60-69,47,39,575.0,0.0030960125654786387,0.030960125654786386,True
TroughValue,18-29,70+,47,39,300.0,9.113996593794326e-08,1.367099489069149e-06,True
TroughValue,30-39,40-49,40,41,753.0,0.529886681521033,1.0,False
TroughValue,30-39,50-59,40,38,587.0,0.08463109579605171,0.6550474763205038,False
TroughValue,30-39,60-69,40,39,629.0,0.14000459504557414,0.8400275702734448,False
TroughValue,30-39,70+,40,39,390.0,0.00013379743297073772,0.0017393666286195904,True
TroughValue,40-49,50-59,41,38,671.0,0.2915165313181921,1.0,False
TroughValue,40-49,60-69,41,39,665.0,0.19711360233376862,0.9855680116688431,False
TroughValue,40-49,70+,41,39,388.0,7.618780260087149e-05,0.0010666292364122007,True
TroughValue,50-59,60-69,38,39,699.0,0.6724182156521018,1.0,False
TroughValue,50-59,70+,38,39,422.0,0.0011740762250166755,0.014088914700200105,True
TroughValue,60-69,70+,39,39,488.0,0.006563819091611188,0.05907437182450069,False
