Metric,Group1,Group2,n1,n2,MannWhitneyU,p_raw,p_holm,significant_p<0.05
PeakValue,18-29,30-39,47,40,881.0,0.6183248873735406,1.0,False
PeakValue,18-29,40-49,47,41,763.0,0.09433577685050394,1.0,False
PeakValue,18-29,50-59,47,38,652.0,0.03352262835266219,0.5028394252899329,False
PeakValue,18-29,60-69,47,39,795.0,0.29388948185825226,1.0,False
PeakValue,18-29,70+,47,39,808.0,0.3488318833695744,1.0,False
PeakValue,30-39,40-49,40,41,741.0,0.4583693509500313,1.0,False
PeakValue,30-39,50-59,40,38,667.0,0.35512623521439346,1.0,False
PeakValue,30-39,60-69,40,39,750.0,0.7723737737097417,1.0,False
PeakValue,30-39,70+,40,39,757.0,0.8253800322645725,1.0,False
PeakValue,40-49,50-59,41,38,771.0,0.9413360400814803,1.0,False
PeakValue,40-49,60-69,41,39,850.0,0.6303206032942243,1.0,False
PeakValue,40-49,70+,41,39,857.0,0.5832427573040511,1.0,False
PeakValue,50-59,60-69,38,39,812.0,0.47256981137626464,1.0,False
PeakValue,50-59,70+,38,39,837.0,0.33054244419244316,1.0,False
PeakValue,60-69,70+,39,39,769.0,0.9362793669948538,1.0,False
TroughValue,18-29,30-39,47,40,985.0,0.7046935903339332,1.0,False
TroughValue,18-29,40-49,47,41,821.0,0.23491244525520727,1.0,False
TroughValue,18-29,50-59,47,38,749.0,0.20465895927913835,1.0,False
TroughValue,18-29,60-69,47,39,917.0,1.0,1.0,False
TroughValue,18-29,70+,47,39,615.0,0.009026299514218508,0.1173418936848406,False
TroughValue,30-39,40-49,40,41,630.0,0.07344201431931607,0.8813041718317929,False
TroughValue,30-39,50-59,40,38,582.0,0.07599558357094578,0.8813041718317929,False
TroughValue,30-39,60-69,40,39,732.0,0.6413759739099361,1.0,False
TroughValue,30-39,70+,40,39,473.0,0.0026516223330243045,0.03977433499536457,True
TroughValue,40-49,50-59,41,38,787.0,0.9413360400814803,1.0,False
TroughValue,40-49,60-69,41,39,920.0,0.24806522164475953,1.0,False
TroughValue,40-49,70+,41,39,665.0,0.19711360233376862,1.0,False
TroughValue,50-59,60-69,38,39,878.0,0.16429852736687311,1.0,False
TroughValue,50-59,70+,38,39,600.0,0.1522830100082385,1.0,False
TroughValue,60-69,70+,39,39,472.0,0.004000860386236557,0.05601204540731179,False
