Metric,Group1,Group2,n1,n2,MannWhitneyU,p_raw,p_holm,significant_p<0.05
PeakValue,18-29,30-39,47,40,1180.0,0.04137572905222115,0.49650874862665384,False
PeakValue,18-29,40-49,47,41,1298.0,0.005208655519778547,0.0781298327966782,False
PeakValue,18-29,50-59,47,38,1002.0,0.3375456173685528,1.0,False
PeakValue,18-29,60-69,47,39,1218.0,0.009026299514218508,0.12636819319905912,False
PeakValue,18-29,70+,47,39,1203.0,0.013103740209667517,0.17034862272567772,False
PeakValue,30-39,40-49,40,41,914.0,0.3771124862956491,1.0,False
PeakValue,30-39,50-59,40,38,728.0,0.7528413382129069,1.0,False
PeakValue,30-39,60-69,40,39,875.0,0.3541089408026753,1.0,False
PeakValue,30-39,70+,40,39,831.0,0.6204637210760959,1.0,False
PeakValue,40-49,50-59,41,38,680.0,0.33379819305185254,1.0,False
PeakValue,40-49,60-69,41,39,828.0,0.7875338916774205,1.0,False
PeakValue,40-49,70+,41,39,764.0,0.7361975981654372,1.0,False
PeakValue,50-59,60-69,38,39,873.0,0.1803053602889183,1.0,False
PeakValue,50-59,70+,38,39,815.0,0.45393543271544134,1.0,False
PeakValue,60-69,70+,39,39,716.0,0.6601480358940703,1.0,False
TroughValue,18-29,30-39,47,40,929.0,0.9287440393326993,1.0,False
TroughValue,18-29,40-49,47,41,809.0,0.19768441571550432,1.0,False
TroughValue,18-29,50-59,47,38,765.0,0.2597568113695662,1.0,False
TroughValue,18-29,60-69,47,39,670.0,0.03284661972257787,0.32846619722577874,False
TroughValue,18-29,70+,47,39,421.0,1.7553781737809918e-05,0.0002633067260671488,True
TroughValue,30-39,40-49,40,41,702.0,0.2670247318321606,1.0,False
TroughValue,30-39,50-59,40,38,662.0,0.3297214170866788,1.0,False
TroughValue,30-39,60-69,40,39,586.0,0.057772052334327494,0.5199484710089475,False
TroughValue,30-39,70+,40,39,379.0,8.593136918905642e-05,0.0012030391686467898,True
TroughValue,40-49,50-59,41,38,777.0,0.9882570410188583,1.0,False
TroughValue,40-49,60-69,41,39,739.0,0.563580954819228,1.0,False
TroughValue,40-49,70+,41,39,508.0,0.00509406889338289,0.06622289561397757,False
TroughValue,50-59,60-69,38,39,677.0,0.5176428729277232,1.0,False
TroughValue,50-59,70+,38,39,470.0,0.00585047374070871,0.07020568488850451,False
TroughValue,60-69,70+,39,39,530.0,0.021534612112420314,0.23688073323662345,False
