Metric,Group1,Group2,n1,n2,MannWhitneyU,p_raw,p_holm,significant_p<0.05
PeakValue,18-29,30-39,47,40,678.0,0.025939790248507996,0.38909685372761993,False
PeakValue,18-29,40-49,47,41,793.0,0.1550223658084988,1.0,False
PeakValue,18-29,50-59,47,38,689.0,0.07206198720687794,0.9368058336894132,False
PeakValue,18-29,60-69,47,39,856.0,0.6027315954708875,1.0,False
PeakValue,18-29,70+,47,39,676.0,0.03735110519148959,0.5229154726808543,False
PeakValue,30-39,40-49,40,41,853.0,0.7588397358395839,1.0,False
PeakValue,30-39,50-59,40,38,812.0,0.6066729244439617,1.0,False
PeakValue,30-39,60-69,40,39,940.0,0.11781142089708545,1.0,False
PeakValue,30-39,70+,40,39,759.0,0.8406836873354043,1.0,False
PeakValue,40-49,50-59,41,38,757.0,0.8329183910245539,1.0,False
PeakValue,40-49,60-69,41,39,859.0,0.5700992981838506,1.0,False
PeakValue,40-49,70+,41,39,714.0,0.4132609226598545,1.0,False
PeakValue,50-59,60-69,38,39,909.0,0.08789475150896894,1.0,False
PeakValue,50-59,70+,38,39,719.0,0.8266054324916822,1.0,False
PeakValue,60-69,70+,39,39,608.0,0.12876400635224694,1.0,False
TroughValue,18-29,30-39,47,40,685.0,0.030197113549874404,0.4227595896982417,False
TroughValue,18-29,40-49,47,41,813.0,0.20958126124624477,1.0,False
TroughValue,18-29,50-59,47,38,736.0,0.1665742305354473,1.0,False
TroughValue,18-29,60-69,47,39,969.0,0.6519322389420282,1.0,False
TroughValue,18-29,70+,47,39,697.0,0.057467413715930886,0.6896089645911706,False
TroughValue,30-39,40-49,40,41,864.0,0.681135532771223,1.0,False
TroughValue,30-39,50-59,40,38,849.0,0.3763156787368368,1.0,False
TroughValue,30-39,60-69,40,39,1025.0,0.016506490997736524,0.24759736496604787,False
TroughValue,30-39,70+,40,39,757.0,0.8253800322645725,1.0,False
TroughValue,40-49,50-59,41,38,803.0,0.8176377528062282,1.0,False
TroughValue,40-49,60-69,41,39,951.0,0.1460981721388871,1.0,False
TroughValue,40-49,70+,41,39,731.0,0.5127672633975565,1.0,False
TroughValue,50-59,60-69,38,39,907.0,0.09175120396201505,1.0,False
TroughValue,50-59,70+,38,39,652.0,0.3672157886896489,1.0,False
TroughValue,60-69,70+,39,39,562.0,0.04785096999923074,0.6220626099899996,False
