Metric,Group1,Group2,n1,n2,MannWhitneyU,p_raw,p_holm,significant_p<0.05
PeakValue,18-29,30-39,47,40,908.0,0.7884873094284208,1.0,False
PeakValue,18-29,40-49,47,41,1152.0,0.11581621612338534,0.6422584277341054,False
PeakValue,18-29,50-59,47,38,1113.0,0.05236152453081194,0.4712537207773075,False
PeakValue,18-29,60-69,47,39,1199.0,0.014435530269917235,0.18766189350892404,False
PeakValue,18-29,70+,47,39,1329.0,0.00035165260474021704,0.0052747890711032554,True
PeakValue,30-39,40-49,40,41,993.0,0.10320998676593987,0.6422584277341054,False
PeakValue,30-39,50-59,40,38,961.0,0.045034508120250366,0.45034508120250366,False
PeakValue,30-39,60-69,40,39,1018.0,0.019865471178172635,0.23807105271822737,False
PeakValue,30-39,70+,40,39,1132.0,0.000567392089872443,0.007943489258214203,True
PeakValue,40-49,50-59,41,38,840.0,0.5527582972373758,1.0,False
PeakValue,40-49,60-69,41,39,881.0,0.43558717431802985,1.0,False
PeakValue,40-49,70+,41,39,1042.0,0.019839254393185613,0.23807105271822737,False
PeakValue,50-59,60-69,38,39,755.0,0.8905979780662622,1.0,False
PeakValue,50-59,70+,38,39,907.0,0.09175120396201505,0.6422584277341054,False
PeakValue,60-69,70+,39,39,950.0,0.05892545364752159,0.4714036291801727,False
TroughValue,18-29,30-39,47,40,1000.0,0.6123355074239212,1.0,False
TroughValue,18-29,40-49,47,41,1163.0,0.09599415519014795,0.9957245452365961,False
TroughValue,18-29,50-59,47,38,1085.0,0.09052041320332692,0.9957245452365961,False
TroughValue,18-29,60-69,47,39,1229.0,0.006800127033837987,0.1020019055075698,False
TroughValue,18-29,70+,47,39,1184.0,0.02055172666466247,0.2671724466406121,False
TroughValue,30-39,40-49,40,41,961.0,0.18444079003414893,1.0,False
TroughValue,30-39,50-59,40,38,892.0,0.18865718666799103,1.0,False
TroughValue,30-39,60-69,40,39,1033.0,0.013287615467198458,0.1860266165407784,False
TroughValue,30-39,70+,40,39,960.0,0.07838368006290616,0.940604160754874,False
TroughValue,40-49,50-59,41,38,775.0,0.972604158316009,1.0,False
TroughValue,40-49,60-69,41,39,891.0,0.38107261450080343,1.0,False
TroughValue,40-49,70+,41,39,854.0,0.6032185250817323,1.0,False
TroughValue,50-59,60-69,38,39,841.0,0.3106893210871531,1.0,False
TroughValue,50-59,70+,38,39,780.0,0.6948621614950612,1.0,False
TroughValue,60-69,70+,39,39,743.0,0.865098622157092,1.0,False
