Metric,Group1,Group2,n1,n2,MannWhitneyU,p_raw,p_holm,significant_p<0.05
PeakValue,18-29,30-39,47,40,1068.0,0.27753351049984254,1.0,False
PeakValue,18-29,40-49,47,41,1341.0,0.0016131207593573004,0.024196811390359504,True
PeakValue,18-29,50-59,47,38,994.0,0.37437162334980445,1.0,False
PeakValue,18-29,60-69,47,39,1013.0,0.4049788641965729,1.0,False
PeakValue,18-29,70+,47,39,1025.0,0.3488318833695744,1.0,False
PeakValue,30-39,40-49,40,41,1030.0,0.04781600323510524,0.6216080420563681,False
PeakValue,30-39,50-59,40,38,745.0,0.8847490139892039,1.0,False
PeakValue,30-39,60-69,40,39,785.0,0.964803864014453,1.0,False
PeakValue,30-39,70+,40,39,793.0,0.902445565137312,1.0,False
PeakValue,40-49,50-59,41,38,592.0,0.06725646090871594,0.8070775309045912,False
PeakValue,40-49,60-69,41,39,585.0,0.03941194892066586,0.551767284889322,False
PeakValue,40-49,70+,41,39,664.0,0.193791515728007,1.0,False
PeakValue,50-59,60-69,38,39,753.0,0.9067252049169692,1.0,False
PeakValue,50-59,70+,38,39,736.0,0.9634304464977108,1.0,False
PeakValue,60-69,70+,39,39,793.0,0.7491288854074256,1.0,False
TroughValue,18-29,30-39,47,40,886.0,0.648647137924236,1.0,False
TroughValue,18-29,40-49,47,41,1140.0,0.14096631298106455,1.0,False
TroughValue,18-29,50-59,47,38,797.0,0.39860251404672786,1.0,False
TroughValue,18-29,60-69,47,39,836.0,0.48770197015729144,1.0,False
TroughValue,18-29,70+,47,39,633.0,0.014091847993887989,0.19728587191443184,False
TroughValue,30-39,40-49,40,41,952.0,0.2141669991527969,1.0,False
TroughValue,30-39,50-59,40,38,719.0,0.6855766970965207,1.0,False
TroughValue,30-39,60-69,40,39,761.0,0.8560477912615482,1.0,False
TroughValue,30-39,70+,40,39,589.0,0.061761208521633956,0.8028957107812414,False
TroughValue,40-49,50-59,41,38,607.0,0.09241867449665842,0.9338397906084868,False
TroughValue,40-49,60-69,41,39,620.0,0.08489452641895334,0.9338397906084868,False
TroughValue,40-49,70+,41,39,503.0,0.004383595599665648,0.06575393399498472,False
TroughValue,50-59,60-69,38,39,771.0,0.7637447307137751,1.0,False
TroughValue,50-59,70+,38,39,592.0,0.13027368964524863,1.0,False
TroughValue,60-69,70+,39,39,581.0,0.07364456571565696,0.8837347885878835,False
